Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:45:18 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:45:56 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:45:57 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:45:57 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:45:58 | Content: []
Error: Não foi possível criar o produto | Code: 500 | When: 2025-03-29 01:46:03 | Content: {"name":"1","price":"1","quantity":"1","control_stock":"1","value_min":"1"}
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:04 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:17 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:20 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:21 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:21 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:22 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:23 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:24 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:24 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:25 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:44 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:46:56 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:01 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:02 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:02 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:02 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:03 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:03 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:03 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:03 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:03 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:04 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:04 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:04 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:04 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 01:47:04 | Content: []
Error: Não foi possível listar os produtos | Code: 500 | When: 2025-03-29 02:02:58 | Content: []
